,Date,Headline
38,2022-03-14,Apple iPhone SE Review: A Phone for the Anti-Consumer
39,2022-03-14,"Foxconn, which assembles Apple’s iPhones, suspends production at factories in Shenzhen, China, because of a lockdown."
40,2022-03-12,"Shaming Apple and Texting Musk, a Ukraine Minister Uses Novel War Tactics"
42,2022-03-11,Apps and Oranges: Behind Apple’s ‘Bullying’ on Trademarks
43,2022-03-08,"Apple unveils a new iPhone, a new iPad and other devices."
44,2022-03-08,Apple Has to Try Hard Now
47,2022-03-01,Apple pauses sales of its products in Russia.
51,2022-02-22,Why Apple’s Fight in the Netherlands Matters
53,2022-06-03,"The Best Movies and TV Shows Coming to HBO, Hulu, Apple TV+ and More in June"
58,2022-05-02,"The Best Movies and TV Shows Coming to HBO Max, Hulu, Apple TV+ and More in May"
59,2022-02-10,Apple says it will make AirTags easier to find after complaints of stalking.
60,2022-02-11,"I Used Apple AirTags, Tiles and a GPS Tracker to Watch My Husband’s Every Move"
62,2022-02-03,"A Change by Apple Is Tormenting Internet Companies, Especially Meta"
65,2022-02-02,Grindr is pulled from Apple’s App Store in China.
67,2022-04-01,"The Best Movies and TV Shows Coming to HBO, Hulu, Apple TV+ and More in April"
68,2022-01-27,Apple’s profit jumps to $34.6 billion in holiday quarter despite supply issues.
69,2022-01-26,Why Online Stars Are Mad at Apple
70,2022-01-25,Apple gets restraining order against a woman accused of stalking Tim Cook.
74,2022-03-01,"The Best Movies and TV Shows Coming to HBO, Hulu, Apple TV+ and More in March"
0,2022-10-27,"Apple’s iPhone Powers Growth, but Signs Point to a Slowdown"
1,2022-11-02,"After Covid Lockdown, Fear and Unrest Sweep iPhone Factory in China"
4,2022-10-25,Spotify Wants to Get Into Audiobooks but Says Apple Is in the Way
6,2022-10-27,China’s Latest Covid Lockdown Affects a Major iPhone Factory
11,2022-10-18,New Crack in Apple’s Armor as Dozens Strike at Its Stores in Australia
14,2022-10-15,Apple Store in Oklahoma City Becomes Second to Unionize
15,2022-10-12,Lufthansa Says Apple AirTags Are Once Again Allowed in Checked Bags
16,2022-10-11,Lufthansa Says Passengers Can’t Use Apple AirTags to Track Checked Bags
17,2022-10-04,N.L.R.B. Issues Complaint Against Apple
21,2022-09-23,Apple to Sponsor the Super Bowl Halftime Show
22,2022-09-20,An Anti-E.S.G. Activist Takes on Apple and Disney
24,2022-09-07,"Apple Extends Reach With $800 Watch, as New iPhone Inches Along"
28,2022-09-06,"Apple, the Ad Critic, Now Embraces Ads"
30,2022-09-06,How China Has Added to Its Influence Over the iPhone
32,2022-09-01,An Apple Watch for Your 5-Year-Old? More Parents Say Yes.
39,2022-08-01,Pixar’s Ousted Founder Returns With Apple and ‘Luck’
40,2022-07-28,"Apple Continues to Grow, but Profits Drop as Costs Rise"
49,2022-07-20,Apple Agrees to $50 Million Settlement Over Butterfly Keyboard Complaints
50,2022-07-20,Who Will Make Apple Fashionable Now?
51,2022-07-12,"Apple Ends Consulting Agreement With Jony Ive, Its Former Design Leader"
52,2022-10-01,"Teaching My Kids How to Be Jewish, One Plate of Apples at a Time"
54,2022-07-01,Former Apple Lawyer Pleads Guilty to Insider Trading
57,2022-06-19,"Apple Workers at Maryland Store Vote to Unionize, a First in the U.S."
62,2022-07-02,"The Best Movies and TV Shows Coming to HBO, Hulu, Apple TV+ and More in July"
